customer_id,first_name,last_name,email,country,gdpr_optin
C00001,Luca,Smith,,ES,0
C00002,Mary,Singh,user2@example.com,IT,1
C00003,Emma,Garcia,user3@example.com,DE,1
C00004,Marco,Brown,user4@example.com,FR,1
C00005,Sara,Silva,user5@example.com,ES,1
C00006,Olivia,Smith,user6@example.com,DE,1
C00007,Emma,Smith,user7@example.com,IT,1
C00008,Sara,Rossi,user8@example.com,IT,0
C00009,Sara,Bianchi,user9@example.com,IT,1
C00010,Mia,Garcia,user10@example.com,IT,1
C00011,Giulia,Brown,user11@example.com,FR,1
C00012,Emma,Garcia,user12@example.com,ES,1
C00013,Noah,Silva,user13@example.com,IT,1
C00014,Sara,Khan,user14@example.com,IT,1
C00015,Olivia,Khan,user15@example.com,DE,1
C00016,Mia,Smith,user16@example.com,ES,1
C00017,Carlos,Lopez,user17@example.com,ES,1
C00018,Luca,Brown,user18@example.com,IT,1
C00019,Noah,Silva,user19@example.com,IT,1
C00020,Carlos,Lopez,user20@example.com,DE,0
C00021,Noah,Bianchi,user21@example.com,DE,1
C00022,Emma,Rossi,user22@example.com,IT,1
C00023,John,Smith,user23@example.com,IT,1
C00024,Sara,Silva,user24@example.com,IT,1
C00025,Sara,Garcia,user25@example.com,FR,0
C00026,Carlos,Silva,user26@example.com,FR,1
C00027,Olivia,Khan,user27@example.com,IT,0
C00028,John,Bianchi,user28@example.com,IT,1
C00029,Emma,Silva,user29@example.com,IT,0
C00030,Carlos,Brown,user30@example.com,ES,1
C00031,Ana,Singh,user31@example.com,ES,0
C00032,Noah,Bianchi,user32@example.com,IT,1
C00033,John,Silva,user33@example.com,FR,1
C00034,Giulia,Khan,user34@example.com,FR,1
C00035,Carlos,Smith,user35@example.com,DE,1
C00036,Carlos,Singh,user36@example.com,ES,1
C00037,Carlos,Bianchi,user37@example.com,FR,1
C00038,Luca,Singh,user38@example.com,ES,0
C00039,John,Lopez,user39@example.com,ES,1
C00040,Olivia,Bianchi,user40@example.com,IT,1
C00041,Marco,Smith,user41@example.com,IT,1
C00042,Emma,Bianchi,user42@example.com,IT,0
C00043,Mia,Singh,user43@example.com,IT,1
C00044,Sara,Khan,user44@example.com,IT,1
C00045,Marco,Khan,user45@example.com,ES,1
C00046,Emma,Smith,user46@example.com,ES,1
C00047,John,Khan,user47@example.com,FR,1
C00048,Sara,Rossi,user48@example.com,IT,1
C00049,Giulia,Lopez,user49@example.com,IT,1
C00050,Sara,Brown,user50@example.com,IT,1
C00051,Olivia,Khan,user51@example.com,FR,1
